domain,trial,our_id,competitor_id,fp_winner,fp_reason,fp_ours,fp_competitor,tu_winner,tu_reason,tu_ours,tu_competitor,sv_winner,sv_reason,sv_ours,sv_competitor,overall_winner,overall_reason
AI,22,US11475102B2,CN109992743B,tie,"Both patents aim to improve matrix multiplication in deep learning and other applications, with no clear advantage over the other.",Reduces matrix multiplication running time in deep neural networks for efficient computation,Performs efficient and flexible matrix multiplication by partitioning matrices and processing subblocks concurrently in a systolic array.,ours,"The US patent describes a burst memory access mode that allows for the simultaneous loading, multiplying, and adding of data from memory in a single operation, which is not present in the Chinese patent.","Leverages a dual-unit system that loads, multiplies, and adds data from memory in a single burst using burst memory access mode","Includes two memories for storing matrices, an operation circuit with X rows of operation units, each with vector multiplication and addition circuits, and a controller that partitions and controls the operation based on the partitioned subblocks.",ours,"The US patent can potentially accelerate development cycles and model training by reducing computation time due to its burst memory access mode, which may not be as pronounced in the Chinese patent.","Enhances performance of deep learning models by reducing computation time, potentially accelerating development cycles and model training","Improves calculation efficiency and flexibility, which can be beneficial for applications requiring fast matrix multiplications such as machine learning, image processing, and simulations.",ours,"The US patent offers a unique approach to improving matrix multiplication efficiency and potential performance enhancement, making it more strategic compared to the Chinese patent."
AI,22,US11475102B2,US11347652B2,ours,"The first patent aims at addressing the memory bandwidth problem in scaling up Deep Neural Network (DNN) accelerators, while the second patent focuses on reducing matrix multiplication running time in deep neural networks.",Reduces matrix multiplication running time in deep neural networks for efficient computation,Addresses the memory bandwidth problem in scaling up Deep Neural Network (DNN) accelerators by decoupling data access from a single logically unified memory structure.,tie,"Both patents demonstrate technical uniqueness by proposing innovative solutions to improve the performance of DNNs. The first patent introduces a banked memory structure, and the second patent leverages a dual-unit system.","Leverages a dual-unit system that loads, multiplies, and adds data from memory in a single burst using burst memory access mode","Improves scalability by using a banked memory structure with multiple local memories, each paired with a computation unit and a data channel.",ours,"The second patent's potential impact is broader as it not only increases the performance of DNN models but also reduces computation time, potentially accelerating development cycles and model training.","Enhances performance of deep learning models by reducing computation time, potentially accelerating development cycles and model training",Potentially increases the compute throughput of DNN accelerators for improved performance in current or near-term products.,ours,The second patent offers a more comprehensive strategic value by addressing both performance improvement and computation time reduction.
AI,22,US11475102B2,CN109478252B,competitor,"The first patent (US11475102B2) focuses on matrix multiplication in deep neural networks, while the second patent (CN109478252B) addresses a broader range of neural network operations, including convolution, max pooling, and noise generation.",Reduces matrix multiplication running time in deep neural networks for efficient computation,"Addresses limited performance in neural network operations on non-optimized CPUs and GPUs by providing hardware optimizations specific to convolution, max pooling, and noise generation.",competitor,"The second patent (CN109478252B) offers a comprehensive system environment for machine learning hardware acceleration, with optimizations in multicast networks, DRAM transfer optimization, and DRAM permutation strategies. The first patent (US11475102B2) provides a dual-unit system that improves matrix multiplication specifically.","Leverages a dual-unit system that loads, multiplies, and adds data from memory in a single burst using burst memory access mode","Offers a system environment for machine learning hardware acceleration with optimized multicast networks, DRAM transfer optimization, and DRAM permutation strategies.",competitor,The second patent (CN109478252B) not only reduces resource consumption and increases processing speeds but also enhances flexibility in deep neural network operations. The first patent (US11475102B2) primarily targets the performance of deep learning models by reducing computation time.,"Enhances performance of deep learning models by reducing computation time, potentially accelerating development cycles and model training","Reduces resource consumption, increases processing speeds, and enhances flexibility in deep neural network operations, contributing to business success through improved product performance.",competitor,The second patent (CN109478252B) offers a more comprehensive approach to deep neural network optimization by addressing a wider range of operations and providing hardware acceleration.
Energy,22,US9257711B2,US11955674B1,ours,"The functional purpose of US9257711B2 is to enhance energy production in molten carbonate fuel cells by optimizing hydrogen utilization, while US11955674B1 focuses on reducing carbon dioxide emissions in hydrocarbon cracking systems.",Enhances energy production in molten carbonate fuel cells by optimizing hydrogen utilization beyond traditional limits.,Reduces carbon dioxide emissions in hydrocarbon cracking systems during olefin production by converting methane into electricity.,competitor,"The technical uniqueness of US11955674B1 lies in its use of a fuel cell to convert methane into electricity, while US9257711B2 recycles hydrogen-rich exhaust back to the anode inlet for increased efficiency.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing efficiency and enabling external and internal reforming.","Uses a fuel cell to convert methane into electricity, resulting in reduced CO₂ emissions compared to traditional methods.",competitor,"US11955674B1 provides a way for hydrocarbon cracking systems to comply with future emission standards and contribute to a lower overall carbon footprint, whereas US9257711B2 potentially leads to increased energy output, reduced hydrogen waste, and improved fuel cell performance.","Potentially leads to increased energy output, reduced hydrogen waste, and improved fuel cell performance.",Provides a way for hydrocarbon cracking systems to comply with future emission standards and contribute to a lower overall carbon footprint.,competitor,"While both patents offer unique technical solutions, US11955674B1 has a higher strategic value due to its contribution to emission reduction in hydrocarbon cracking systems."
Energy,22,US9257711B2,EP4469183A1,tie,Both patents describe functional purposes that are equally specific: enhancing energy production (US9257711B2) and producing high-purity H2 for further use or storage (EP4469183A1).,Enhances energy production in molten carbonate fuel cells by optimizing hydrogen utilization beyond traditional limits.,"Removes CO2 from H2-rich gas mixtures during hydrogen production, producing high-purity H2 for further use or storage.",ours,"The US9257711B2 patent demonstrates a unique approach to optimizing hydrogen utilization by recycling hydrogen-rich exhaust, which is not present in the EP4469183A1.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing efficiency and enabling external and internal reforming.",Uses a pressure swing adsorption (PSA) unit to selectively capture CO2 in a cost-effective and potentially hazardous separation process.,competitor,"The EP4469183A1 patent addresses a strategic need for hydrogen production systems to comply with environmental regulations by reducing CO2 emissions and enhancing H2 purity, whereas the US9257711B2 does not directly impact this aspect.","Potentially leads to increased energy output, reduced hydrogen waste, and improved fuel cell performance.","Reduces emissions, enhances H2 purity, and supports compliance with environmental regulations for hydrogen production systems.",competitor,"The EP4469183A1 patent has a unique approach to addressing environmental concerns in hydrogen production, while also providing a practical use for high-purity H2."
Energy,22,US9257711B2,US9502728B1,competitor,"The functional purpose of US9502728B1 is to produce sustainable heat and electricity with reduced carbon dioxide emissions, addressing the growing demand for sustainable energy solutions and supporting compliance with future emissions regulations. In contrast, US9257711B2's functional purpose focuses on enhancing energy production in molten carbonate fuel cells by optimizing hydrogen utilization, which is not directly related to sustainability or emission reduction.",Enhances energy production in molten carbonate fuel cells by optimizing hydrogen utilization beyond traditional limits.,Produces sustainable heat and electricity with reduced carbon dioxide emissions using a high-efficiency multi-stack fuel cell system with carbon dioxide capture capability.,competitor,"US9502728B1 achieves carbon dioxide capture within a compact design by integrating multiple fuel cell stacks in a single enclosure. US9257711B2 recycles hydrogen-rich exhaust back to the anode inlet, increasing efficiency and enabling external and internal reforming, but this technique does not uniquely address carbon dioxide capture.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing efficiency and enabling external and internal reforming.",Achieves carbon dioxide capture within a compact design by integrating multiple fuel cell stacks in a single enclosure.,competitor,"US9502728B1's strategic value lies in its ability to position the technology as a competitive alternative to traditional fossil fuel-based power generation due to its carbon dioxide capture and reduced emissions. While US9257711B2 potentially leads to increased energy output, reduced hydrogen waste, and improved fuel cell performance, it does not directly address the growing demand for sustainable energy solutions or future emissions regulations.","Potentially leads to increased energy output, reduced hydrogen waste, and improved fuel cell performance.","Addresses growing demand for sustainable energy solutions, supports compliance with future emissions regulations, and positions the technology as a competitive alternative to traditional fossil fuel-based power generation.",competitor,"The US9502728B1 patent offers a more comprehensive and strategic solution in terms of sustainability, carbon dioxide capture, and emissions reduction."
Energy,22,US9257711B2,US10252243B2,tie,"Both patents describe a functional purpose aimed at enhancing energy production, with US10252243B2 focusing on CO2 capture for power generation and US9257711B2 optimizing hydrogen utilization in molten carbonate fuel cells.",Enhances energy production in molten carbonate fuel cells by optimizing hydrogen utilization beyond traditional limits.,"Chemical looping combustion process reduces energy penalties and operational costs in CO2 capture for power generation by utilizing an oxygen carrier that transports oxygen between air and fuel, resulting in exhaust gas consisting of CO2 and H2O only.",competitor,"The technical uniqueness of US10252243B2 lies in the chemical looping combustion process, which involves two heat states and an oxygen carrier material that transports oxygen between air and fuel. This results in a unique exhaust gas consisting of CO2 and H2O only.","Recycles hydrogen-rich exhaust back to the anode inlet, increasing efficiency and enabling external and internal reforming.","The system uniquely uses a chemical looping combustion process that involves two heat states and an oxygen carrier material, reducing NOx emissions and operating at a lower temperature compared to direct combustion processes.",competitor,"The strategic value of US10252243B2 is higher due to its potential contribution to business success by decreasing operational costs, improving competitiveness through reduced NOx emissions, and potentially complying with future emission standards. In contrast, the strategic value of US9257711B2 lies in increasing energy output and reducing hydrogen waste.","Potentially leads to increased energy output, reduced hydrogen waste, and improved fuel cell performance.","This innovation can contribute to business success by decreasing operational costs due to the absence of gas separation steps, improving competitiveness through reduced NOx emissions, and potentially complying with future emission standards.",competitor,The patent US10252243B2 offers a more promising balance between technical uniqueness and strategic value in the area of energy production and emissions reduction.
Consumer,22,US10231596B2,US11219349B2,ours,"The first patent (US10231596B2) optimizes washing water distribution in the entire washing tank area, while the second patent (US11219349B2) only stabilizes rotation of wash arm assembly during dynamic operational conditions.",Enhances dish cleaning efficiency by optimizing washing water distribution in linear type dish washing machines.,Stabilizes rotation of wash arm assembly during dynamic operational conditions of dishwasher,ours,"The first patent (US10231596B2) utilizes a unique movable vane to distribute washing water, whereas the second patent (US11219349B2) uses a radial supporting portion in its mounting unit.",Utilizes a movable vane reflecting washing water from a fixed nozzle for thorough coverage of the entire washing tank area.,Uses a mounting unit with radial supporting portion to improve rotational stability in wash arms,ours,"The first patent (US10231596B2) improves cleaning effectiveness, potentially leading to customer satisfaction and market differentiation, while the second patent (US11219349B2) enhances product performance for consistent cleaning results.","Improves product competitiveness by increasing cleaning effectiveness, leading to customer satisfaction and potential market differentiation.",Enhances product performance and customer satisfaction by ensuring consistent cleaning results,ours,"The first patent offers more comprehensive improvements to the dish washing machine, focusing on both cleaning effectiveness and product performance."
Consumer,22,US10231596B2,US12029369B2,competitor,"The first patent (US12029369B2) focuses on sanitizing reusable customer-provided containers in a retail environment, which addresses a specific use case in the retail industry, as opposed to the second patent (US10231596B2) that aims at enhancing dish cleaning efficiency in linear type machines.",Enhances dish cleaning efficiency by optimizing washing water distribution in linear type dish washing machines.,Ensures sanitization of customer-provided reusable beverage containers in a retail environment by rapidly washing and sanitizing them using a rotating pop-up sprayer.,competitor,"The first patent (US12029369B2) features a rotating pop-up sprayer with multiple nozzles that wash both the interior and exterior of containers, providing more comprehensive coverage compared to the second patent (US10231596B2), which uses a movable vane reflecting washing water from a fixed nozzle.",Utilizes a movable vane reflecting washing water from a fixed nozzle for thorough coverage of the entire washing tank area.,"Improves hygiene efficiency with a pop-up sprayer that rotates and moves along an axis of rotation, having multiple nozzles to wash both the interior and exterior of containers.",tie,"Both patents (US12029369B2 and US10231596B2) aim to enhance productivity, customer satisfaction, and market competitiveness by improving sanitation or cleaning efficiency.","Improves product competitiveness by increasing cleaning effectiveness, leading to customer satisfaction and potential market differentiation.","Increases retail productivity by minimizing cleaning time, enhances customer satisfaction through improved sanitation, and aligns with sustainability initiatives promoting reusable containers.",competitor,"The first patent (US12029369B2) offers a more unique technical solution and addresses a specific industry need, providing an edge over the second patent (US10231596B2)."
Consumer,22,US10231596B2,EP3560405A1,competitor,"The first patent improves dish cleaning efficiency by optimizing washing water distribution in linear type dish washing machines, whereas the second patent focuses on varying spraying angles through reciprocating main and auxiliary arms.",Enhances dish cleaning efficiency by optimizing washing water distribution in linear type dish washing machines.,Improves washing efficiency in dishwashers by varying spraying angles through reciprocating main and auxiliary arms,ours,"The first patent utilizes a movable vane reflecting washing water from a fixed nozzle for thorough coverage of the entire washing tank area, while the second patent employs a linked eccentric gear system to dynamically change the spraying angle of an auxiliary arm.",Utilizes a movable vane reflecting washing water from a fixed nozzle for thorough coverage of the entire washing tank area.,Uses a linked eccentric gear system to dynamically change the spraying angle of an auxiliary arm,ours,"The first patent improves product competitiveness by increasing cleaning effectiveness, leading to customer satisfaction and potential market differentiation. The second patent enhances product performance, providing more efficient cleaning in dishwashers.","Improves product competitiveness by increasing cleaning effectiveness, leading to customer satisfaction and potential market differentiation.","Enhances product performance, providing more efficient cleaning in dishwashers",ours,The first patent offers a unique solution for dish washing with greater potential for market differentiation.
Consumer,22,US10231596B2,KR102528669B1,competitor,"The patent KR102528669B1 focuses on improving the even distribution of washing water on a dish's surface, which directly addresses the cleaning efficiency.",Enhances dish cleaning efficiency by optimizing washing water distribution in linear type dish washing machines.,Improves the even distribution of washing water on a dish's surface for efficient cleaning and improved spray area and washing efficiency of the spray arm in dishwashers,ours,"The use of a movable vane in US10231596B2 to optimize washing water distribution is technically unique since it reflects washing water from a fixed nozzle, covering the entire tank area.",Utilizes a movable vane reflecting washing water from a fixed nozzle for thorough coverage of the entire washing tank area.,"Incorporates an auxiliary arm that rotates with the main arm, diversifying the spray angle according to the rotation of the spray arm, eliminating the need for a separate driving device",competitor,"By reducing water usage and improving washing efficiency, KR102528669B1 has a higher potential for cost savings on water and energy bills.","Improves product competitiveness by increasing cleaning effectiveness, leading to customer satisfaction and potential market differentiation.","Reduces water usage while improving washing efficiency, resulting in cleaner dishes and potential cost savings on water and energy bills",competitor,The patent KR102528669B1 stands out for its potential to reduce costs and improve both functional purpose and technical uniqueness.
Mobile,22,US11703916B2,CN114909388B,competitor,"The CN114909388B patent focuses on extending the service life of flexible screens, which directly impacts the functional purpose of maintaining stability in foldable electronic devices during the folding process.",Maintains stability of moving tracks in foldable electronic devices during unfolding and folding processes,Extends the service life of flexible screens in foldable electronic devices by minimizing excessive bending and squeezing during the folding process.,competitor,"The CN114909388B patent presents a hinge mechanism with four swing arms that facilitates controlled bending motion, whereas the US11703916B2 patent uses a symmetrical linkage system.",Utilizes a symmetrical linkage system with sliding lap joints that reduce shaking during movement,Uses a hinge mechanism with four swing arms that rotate and slide to facilitate controlled bending motion for the flexible screen during folding.,tie,"Both patents aim to improve product quality and enhance user experience by minimizing damage during device use, transportation, and folding, but they focus on different components: US11703916B2 focuses on the moving tracks, while CN114909388B concentrates on flexible screens.",Enhances durability and user experience by minimizing damage during device use and transportation,"Improves product quality by enhancing the durability of foldable electronic devices, increasing customer satisfaction and reducing returns due to screen damage.",competitor,"The CN114909388B patent offers a unique technical solution to extend the service life of flexible screens in foldable electronic devices, making it superior to US11703916B2."
Mobile,22,US11703916B2,EP4557048A1,competitor,"The functional purpose of the EP4557048A1 patent focuses on enhancing usability and portability by providing a foldable display, which is a more direct way to address user discomfort caused by limited screen size in compact portable electronic devices.",Maintains stability of moving tracks in foldable electronic devices during unfolding and folding processes,Addresses user discomfort due to limited screen size in compact portable electronic devices by providing a foldable display that increases usability without sacrificing portability.,competitor,"The technical uniqueness of the EP4557048A1 patent lies in its use of a multi-hinge system with a continuous center bar, providing seamless rotation and support for the foldable display. In contrast, the US11703916B2 patent uses a symmetrical linkage system, which while unique, does not offer the same level of technical innovation in terms of display functionality.",Utilizes a symmetrical linkage system with sliding lap joints that reduce shaking during movement,Uses a multi-hinge system with a continuous center bar for seamless rotation and support of the foldable display.,competitor,"The EP4557048A1 patent offers enhanced market applicability by providing an improved user experience, potential cost reduction through manufacturing complexity simplification, and applicability across multiple portable electronic device categories. Although the US11703916B2 patent enhances durability and user experience by minimizing damage during device use and transportation, its strategic value seems to be more limited in terms of the scope of devices it can impact.",Enhances durability and user experience by minimizing damage during device use and transportation,"Provides market applicability by offering enhanced user experience, potential cost reduction through reduced manufacturing complexity, and applicability across multiple portable electronic device categories.",competitor,"The EP4557048A1 patent offers a more comprehensive solution in terms of addressing user discomfort, technical innovation, and market applicability."
Mobile,22,US11703916B2,US20240430348A1,competitor,"The US20240430348A1 patent focuses on widening the screens in portable electronic devices, which addresses a significant consumer demand that is not explicitly addressed by US11703916B2.",Maintains stability of moving tracks in foldable electronic devices during unfolding and folding processes,Enables wider screens in portable electronic devices without increasing overall size for improved portability.,competitor,"The foldable device structure in the US20240430348A1 patent, with its hinge, link members, and arm members, provides a unique method for enabling wider screens without increasing overall size. This is not present in the US11703916B2 patent.",Utilizes a symmetrical linkage system with sliding lap joints that reduce shaking during movement,"A foldable device structure consisting of a hinge, link members, and arm members that allow stable folding motion, providing durability and flat display regions.",tie,"Both patents enhance market success and customer satisfaction by addressing important consumer demands: US11703916B2 with durability and user experience, and US20240430348A1 with larger screens while maintaining portability.",Enhances durability and user experience by minimizing damage during device use and transportation,"Can contribute to market success by addressing consumer demand for larger screens in portable devices while maintaining portability, potentially increasing sales and customer satisfaction.",competitor,"The US20240430348A1 patent offers unique technical solutions for increasing screen size in portable devices, which aligns with a significant market demand."
Mobile,22,US11703916B2,JP2022165707A,tie,"Both patents target improving functionality in foldable electronic devices, but they focus on different aspects: maintaining stability during movement (US11703916B2) and facilitating smooth rotation and data transmission (JP2022165707A).",Maintains stability of moving tracks in foldable electronic devices during unfolding and folding processes,Facilitates smooth rotation and data transmission in foldable display devices by managing excess length of flexible substrate connecting components.,ours,The symmetrical linkage system with sliding lap joints (US11703916B2) is not found in the design using a hinge device and offset-positioned flexible substrate (JP2022165707A).,Utilizes a symmetrical linkage system with sliding lap joints that reduce shaking during movement,"Enables controlled movement without hindering the flexible substrate's flexibility, using a hinge device and offset-positioned flexible substrate design.",ours,Enhancing durability and user experience (US11703916B2) may have broader implications than improving product quality by ensuring smooth operation and consistent data transmission (JP2022165707A).,Enhances durability and user experience by minimizing damage during device use and transportation,Improves product quality by ensuring smooth operation and consistent data transmission in foldable devices.,ours,"The US patent offers unique technical solutions with a broader strategic impact, while the JP patent targets specific issues within foldable display devices."
Healthcare,22,US20210259560A1,KR102407094B1,ours,"The first patent's functional purpose of monitoring a subject's physiological or biological state over extended periods is broader than the second patent, which only focuses on measuring blood pressure.","Monitors subject's physiological or biological state over extended periods (e.g., months or years) using a digital health device easy for lay users to apply and use.",Measures blood pressure non-invasively without a cuff using contact pressure and pulse wave signals from the wrist.,ours,"The first patent integrates multiple components (microcontroller, sensors, and user interface) into a wearable device, providing wireless data transmission and analysis capabilities, while the second patent utilizes a contact pressure sensor to adapt to hand shape changes in a cuffless blood pressure monitor.","Integrates microcontroller, sensors, and user interface in a wearable device connected via Bluetooth to smartphone or computer for wireless data transmission and analysis.","Utilizes a contact pressure sensor to adapt to hand shape changes, enhancing accuracy compared to existing cuffless methods.",ours,"The first patent improves early detection of cardiovascular diseases, leading to improved treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities. The second patent's strategic value lies in reducing equipment size for increased portability, eliminating cuff-related damage, and potentially improving accuracy.","Improves early detection of cardiovascular diseases, leading to improved treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities.","Reduces equipment size for increased portability, eliminates cuff-related damage, and potentially improves accuracy in comparison to current techniques.",ours,The first patent offers broader functionalities and strategic benefits compared to the second.
Healthcare,22,US20210259560A1,US11432766B2,ours,"The first patent (US20210259560A1) monitors a broader range of physiological or biological states over extended periods, whereas the second patent (US11432766B2) only focuses on ECG measurement.","Monitors subject's physiological or biological state over extended periods (e.g., months or years) using a digital health device easy for lay users to apply and use.",Measures user's electrocardiogram (ECG) accurately and efficiently using a wearable electronic device,ours,"The first patent (US20210259560A1) integrates a digital health device with microcontroller, sensors, and user interface into a wearable device, whereas the second patent (US11432766B2) only describes a structure for ECG measurement.","Integrates microcontroller, sensors, and user interface in a wearable device connected via Bluetooth to smartphone or computer for wireless data transmission and analysis.",Utilizes a structure with two electrodes on the carrier and crown body for ECG measurement,ours,"The first patent (US20210259560A1) aims to improve early detection of cardiovascular diseases, reducing healthcare costs and increasing access to medical diagnostic capabilities. The second patent (US11432766B2), while improving product competitiveness in the market of wearable health devices by offering superior ECG measurement capabilities, does not directly address such broad strategic objectives.","Improves early detection of cardiovascular diseases, leading to improved treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities.",Improves product competitiveness in the market of wearable health devices by offering superior ECG measurement capabilities,ours,"The first patent (US20210259560A1) offers a more comprehensive solution for digital health, with potential to make significant impact on early disease detection."
Healthcare,22,US20210259560A1,US9348322B2,ours,"The first patent's functional purpose focuses on continuous monitoring of physiological or biological states over extended periods, which is more specific than the second patent's biometric sensing for smart devices.","Monitors subject's physiological or biological state over extended periods (e.g., months or years) using a digital health device easy for lay users to apply and use.","Allows effective biometric sensing in compact smart devices, addressing the need for small-sized smart watches and glasses with desired biometric features.",tie,"Both patents present unique technical solutions: The first integrates microcontroller, sensors, and user interface in a wearable device, while the second uses light emission and detection through a lens with opaque and light transmissive sections.","Integrates microcontroller, sensors, and user interface in a wearable device connected via Bluetooth to smartphone or computer for wireless data transmission and analysis.",Uses light emission and detection through a lens with opaque and light transmissive sections to measure biometric data from user's skin.,ours,"The first patent has a higher strategic value as it improves early detection of cardiovascular diseases, leading to improved treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities.","Improves early detection of cardiovascular diseases, leading to improved treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities.","Enhances competitiveness by providing smaller-sized smart devices with effective biometric sensing capabilities, appealing to consumers looking for compact devices with high-end features.",ours,"The first patent offers a more specific functional purpose, higher strategic value, and equally unique technical solution."
Healthcare,22,US20210259560A1,US9775548B2,ours,"The functional purpose of US20210259560A1 includes monitoring a subject's physiological or biological state over extended periods, which is more comprehensive than the heart rate monitoring focus of US9775548B2.","Monitors subject's physiological or biological state over extended periods (e.g., months or years) using a digital health device easy for lay users to apply and use.",Improves sensitivity and accuracy in heart rate monitoring for wearable fitness devices,ours,"US20210259560A1 integrates a wider range of components, including microcontroller, sensors, user interface, and wireless connectivity, compared to the high-aspect-ratio photodetector element used in US9775548B2.","Integrates microcontroller, sensors, and user interface in a wearable device connected via Bluetooth to smartphone or computer for wireless data transmission and analysis.",Uses a high-aspect-ratio photodetector element with paired green LEDs to enhance PPG signal capture,ours,"Improved early detection of cardiovascular diseases can lead to better treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities compared to enhancing the competitiveness of fitness devices.","Improves early detection of cardiovascular diseases, leading to improved treatment outcomes, reduced healthcare costs, and increased access to medical diagnostic capabilities.","Enhances product competitiveness by providing reliable fitness data, potentially attracting consumers seeking accurate health monitoring",ours,Patent US20210259560A1 presents a more comprehensive solution with greater strategic value in the healthcare industry.
AI,23,US11475102B2,US20230297372A1,competitor,"The functional purpose of US20230297372A1 is to improve computation efficiency for dimensional arrays of data, which encompasses a wider scope than reducing matrix multiplication running time in deep neural networks.",Reduces matrix multiplication running time in deep neural networks for efficient computation,"Improves computation efficiency for dimensional arrays of data, applicable in numerical simulations, graphics processing, gaming consoles, supercomputing, and deep neural networks.",tie,"Both patents propose novel approaches to enhance computational efficiency; US11475102B2 uses adaptive matrix multiplication with two multiplying units and burst memory access mode, while US20230297372A1 employs a partitioned system consisting of an SIMD VPU, MXU, and XU.",Uses adaptive matrix multiplication with two multiplying units and burst memory access mode,"Uses a partitioned system consisting of an SIMD VPU, MXU, and XU for vectorized computations with enhanced memory bandwidth and flexibility.",ours,"While US20230297372A1's strategic value is broader in terms of applicability, the strategic value of US11475102B2 lies specifically in its impact on deep neural network models, which are increasingly significant in machine learning applications.","Improves performance of deep neural network models, reducing computational time and enhancing speed of machine learning applications","Can lead to improved performance, resource utilization, or flexibility in specific computations associated with dimensional arrays of data, beneficial for current and future technology products.",ours,"While US20230297372A1 has a wider scope, the unique adaptive matrix multiplication approach of US11475102B2 provides a significant improvement in deep neural network performance."
AI,23,US11475102B2,CN109992743B,competitor,"The CN109992743B patent presents a more general functional purpose as it can be applied across various fields requiring matrix multiplication, whereas the US11475102B2 patent's functional purpose is specific to deep neural networks.",Reduces matrix multiplication running time in deep neural networks for efficient computation,Performs efficient matrix multiplication by partitioning matrices and processing subblocks concurrently in a systolic array,tie,"Both patents use unique approaches for matrix multiplication. The US11475102B2 patent employs adaptive matrix multiplication with burst memory access mode, while the CN109992743B patent uses a systolic array and a controller for matrix partitioning.",Uses adaptive matrix multiplication with two multiplying units and burst memory access mode,"Includes a controller that partitions matrices, an operation circuit with multiple units for parallel processing, and two memories for storing matrices",ours,"The US11475102B2 patent's strategic value is higher as it directly targets the improvement of deep neural network models, which are essential for enhancing the speed of machine learning applications.","Improves performance of deep neural network models, reducing computational time and enhancing speed of machine learning applications","Improves calculation efficiency and flexibility, which can be applied across various fields requiring matrix multiplication",ours,"The US11475102B2 patent offers a unique approach to improving the performance of deep neural network models, making it valuable for applications that rely on machine learning."
AI,23,US11475102B2,US11347652B2,ours,"The functional purpose of the first patent is to reduce matrix multiplication running time in deep neural networks for efficient computation, which directly addresses the computational burden in deep learning applications. In contrast, the second patent's purpose focuses on improving scalability of DNN accelerators by decoupling data access from a single logically unified memory structure.",Reduces matrix multiplication running time in deep neural networks for efficient computation,Improves scalability of Deep Neural Network (DNN) accelerators by decoupling data access from a single logically unified memory structure using a banked memory structure,ours,"The technical uniqueness of the first patent lies in its adaptive matrix multiplication with two multiplying units and burst memory access mode, a combination not commonly found in other patents. The second patent introduces a banked memory structure, but this is not unique as similar approaches have been proposed in the literature.",Uses adaptive matrix multiplication with two multiplying units and burst memory access mode,"Enhances scalability through the use of a banked memory structure with multiple local memories, each paired with a computation unit and a data channel",competitor,"The strategic value of the second patent lies in its potential to increase compute throughput of DNN accelerators by addressing the memory bandwidth problem caused by the complexity of supporting an increasing number of independent accesses. The first patent improves performance of deep neural network models, but it may not have as significant an impact on increasing overall computational efficiency as the second patent.","Improves performance of deep neural network models, reducing computational time and enhancing speed of machine learning applications",Potentially increases compute throughput of DNN accelerators by addressing the memory bandwidth problem caused by the complexity of supporting an increasing number of independent accesses,tie,"Both patents offer unique and valuable contributions to deep learning technology, each addressing different aspects of performance optimization."
AI,23,US11475102B2,CN109478252B,tie,"Both patents aim to optimize deep neural network operations, but with slightly different focuses. CN109478252B emphasizes hardware-specific accelerations for convolution, max pooling, and noise generation, while US11475102B2 reduces matrix multiplication running time.",Reduces matrix multiplication running time in deep neural networks for efficient computation,"Optimizes deep neural network operations by providing hardware-specific accelerations for convolution, max pooling, and noise generation.",competitor,"CN109478252B offers multicast networks and DRAM transfer optimization techniques, which provide a unique approach to machine learning acceleration that is not present in US11475102B2.",Uses adaptive matrix multiplication with two multiplying units and burst memory access mode,Enhances performance through the use of multicast networks and DRAM transfer optimization techniques in a system environment tailored for machine learning acceleration.,competitor,"By delivering faster processing times, reduced resource consumption, and greater flexibility in deep neural network applications, CN109478252B holds a stronger strategic value.","Improves performance of deep neural network models, reducing computational time and enhancing speed of machine learning applications","Improves product competitiveness by delivering faster processing times, reduced resource consumption, and greater flexibility in deep neural network applications.",competitor,CN109478252B offers both technical and strategic advantages over US11475102B2.
